nom_lieu_csv,correspondance,id_correspondance,type_correspondance,raison,id_zone_indicative_realisee,id_zone_cynegetique_realisee,id_commune,id_lieu_tir,nom_lieu_tir,lattitude,longitude
Chalet martin,Chalet Martin,655.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,29.0,4.0,277383,275.0,Forêt de Malmontet,,
Chalet martin,Chalet Martin,655.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,29.0,4.0,277383,275.0,Forêt de Malmontet,,
Chalet martin,Chalet Martin,655.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,29.0,4.0,277383,275.0,Forêt de Malmontet,,
Croix de L'Hermite,,,AUCUNE,Aucun nom similaire retrouvé,29.0,4.0,277380,,,,
minier,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277420,,,,
minier,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277420,,,,
montais,Montals,1312.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277421,598.0,Montals,,
la dauphine,La Dauphine,1349.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,6.0,2.0,277413,616.0,Valat de la Dauphine,,
les lairettes,Les Airettes,1320.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277424,602.0,L'Airette,,
Camprieu la baraque,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277413,,,,
Hort de dieu,L'Hort de Dieu,1363.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277413,623.0,L'Hort de Dieu,,
Massif de l’Aigoual,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277413,,,,
Casalis,Casalis,1334.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277413,609.0,Casalis,,
Camprieu le devois,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277413,,,6334041.8774769865,750572.8605206691
Pradinas,Le Pradinas,1241.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,563.0,Le Pradinas,6329230.63436848,738927.8328305695
Pradinas,Le Pradinas,1241.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,563.0,Le Pradinas,6329889.546985522,738569.6766923259
coste raste,Coste Raste,1238.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,561.0,Coste Raste,6328974.822856742,739245.9012050669
