'30-PONTEILS';'Centre hospitalier de Ponteils'
'30-CONCOULE';'Commune de Concoules'
'30-LANUEJOL';'Commune de Lanuéjols'
'30-PON_BRES';'Commune de Ponteils-et-Brésis'
'30-STSAUVEU';'Commune de Saint-Sauveur-Camprieu'
'30-AIGOUAL';'État'
'48-AIGOUAL';'État'
'48-BAYARD';'État'
'48-BOUGES';'État'
'48-BRAMONT';'État'
'30-COSNR';'État'
'48-FONTMORT';'État'
'48-GARDONS';'État'
'48-GORGTARN';'État'
'48-GOULET';'État'
'30-HOMOL';'État'
'30-LAVIS';'État'
'48-MLOZELL';'État'
'48-LOUBIERE';'État'
'30-MALMONTE';'État'
'30-MAS_AYRE';'État'
'48-MENDE';'État'
'48-MTLOZERE';'État'
'48-MLOZEF';'État'
'48-RAMPONEN';'État'
'30-ROUVERGU';'État'
'30-VAL_BORG';'État'
'30-PNC';'EP PNC'
'48-CALLENC';'Commune d''Allenc'
'48-ALTIER';'Commune d''Altier'
'48-CHADENET';'Commune de Chadenet'
'48-CUBIERET';'Commune de Cubiérettes'
'48-FLORAC';'Commune de Florac-Trois-Rivières'
'48-ROUSSES';'Commune de Rousses'
'48-STGERMAC';'Commune de Saint-Germain-de-Calberte'
'48-VILLEFOR';'Commune de Villefort'
'48-GFCAMPIS';'GF de Campis'
'48-HHFLORAC';'Centre hospitalier de Florac'
'48-BRAMADOU';'EP PNC'
'48-COUGNET';'EP PNC'
'48-COURBADE';'EP PNC'
'48-VENTAJOL';'EP PNC'
'48-AYRES';'Section d''Ayres'
'48-COCURES';'Section de Cocurès'
'48-BACCLAUZ';'Section de Bac, les Clauzels, Fraissinet, l''Hom, Perjuret, le Veygalier et Montcamp'
'48-BACLFROP';'Section de Bac, les Clauzels, Fraissinet, l''Hom, Perjuret et le Veygalier'
'48-BARRE';'Section de Barre-des-Cévennes'
'48-BORIE';'Section de La Borie'
'48-BOUGESSJ';'Section de Bougès'
'48-CAMPIS';'Section de Campis'
'48-CHAZES';'Section des Chazes'
'48-CLUZEL';'Section de Cluzel et Molines'
'48-CREMAVER';'Section de Crémadet et Vergougnoux'
'48-CROUZET';'Section du Crouzet de Meyrueis'
'48-FERRUSSA';'Section de Ferrussac'
'48-FOURQUES';'Section de Fourques'
'48-FRAISSIF';'Section de Fraissinet-de-Fourques'
'48-GRIZAC';'Section de Grizac'
'48-LONJAMON';'Section de Lonjagne et Montmirat'
'48-MAGISTAV';'Section de Majistavols'
'48-MIJAVOLS';'Section de Mijavols'
'48-CAVALADE';'Section de Montbrun, Cros-Garnon et Cavaladette'
'48-MONTEILS';'Section de Monteils de Florac-Trois-Rivières'
'48-MONTET';'Section du Montet'
'48-MONTMIRA';'Section de Montmirat de Saint-Etienne-du-Valdonnez'
'48-OUBRETS';'Section des Oubrets'
'48-PIERREFO';'Section de Pierrefort'
'48-PIERREFR';'Section de Pierrefroide'
'48-POURCARE';'Section de Pourcarès et Ribevenes'
'48-PRADES';'Section de Prades, Nissoulogres, Les Lacs et Jouanas'
'48-RAMPON';'Section de Rampon'
'48-RUASSOLS';'Section de Ruassols et La Vernède'
'48-STETIEVZ';'Commune de Saint-Etienne-du-Valdonnez'
'48-SALVINSA';'Section de Salvinsac'
'48-TOURRIER';'Section de Tourrières'
'48-VERNEDE';'Section de La Vernède'
'48-VILLARET';'Section du Villaret'
'48-AURIAC';'Section d''Auriac'
'48-BOUCHET';'Section du Bouchet et Chadenet'
'48-BRAJON';'Section de Brajon'
'48-CUBIERES';'Section de Cubières'
'48-FAUXISVO';'Section de Faux, Ispagnac et Voltulorgues'
'48-FRAISSJT';'Section de Fraissinet de Saint-Julien-du-Tournel'
'48-ISPAGNAC';'Section d''Ispagnac'
'48-MALLECOM';'Section de Mallecombes'
'48-MALMONT';'Section de Malmont'
'48-MARALON';'Section de Marazeil, Lonjagnes et Montmirat'
'48-MASSEGUI';'Section de Masseguin'
'48-NEYRAC';'Section de Neyrac'
'48-OULTET';'Section d''Oultet'
'48-PAROS';'Section de Paros'
'48-PIGEYRE';'Section de la Pigeyre'
'48-STJULIET';'Section de Saint-Julien-du-Tournel'
'48-SAUVAGES';'Section de Sauvages'
'48-TOURNEL';'Section du Tournel'
'48-VAREIL';'Section de Vareilles de Lanuéjols'
'48-VALFOURN';'Section de Villespasses et Valfournes'
'48-VITROLLE';'Section de Vitrolles de Lanuéjols'
