nom_espece,ug,date_realisation,serie,numero_circuit,nom_circuit,nb,km,valide
Cerf,Méjean,2019-04-01,1,1,Mas St Chély,45,23.4,
Cerf,Méjean,2019-04-01,1,2,Hures La Parade,36,31,
Cerf,Méjean,2019-04-01,1,3,St Pierre des Trippiers,21,15,
Cerf,Méjean,2019-04-01,1,4,Fretma,9,38.3,
Cerf,Méjean,2019-04-01,1,5,Le Pradal,22,29.7,
Cerf,Méjean,2019-04-02,2,1,Mas St Chély,37,23.4,
Cerf,Méjean,2019-04-02,2,2,Hures La Parade,14,31,
Cerf,Méjean,2019-04-02,2,3,St Pierre des Trippiers,21,15,
Cerf,Méjean,2019-04-02,2,4,Fretma,12,38.3,
Cerf,Méjean,2019-04-02,2,5,Le Pradal,12,29.7,
Cerf,Méjean,2019-04-15,3,4,Fretma,23,38.3,x
Cerf,Méjean,2019-04-15,3,5,Le Pradal,12,29.7,x
Cerf,Méjean,2017-03-27,1,1,Mas St Chély,39,23.4,
Cerf,Méjean,2017-03-27,1,2,Hures La Parade,23,31,
Cerf,Méjean,2017-03-27,1,3,St Pierre des Trippiers,11,15,
Cerf,Méjean,2017-03-27,1,4,Fretma,6,38.3,
Cerf,Méjean,2017-03-27,1,5,Le Pradal,2,29.7,
Cerf,Méjean,2017-03-28,2,1,Mas St Chély,55,23.4,
Cerf,Méjean,2017-03-28,2,2,Hures La Parade,18,31,
Cerf,Méjean,2017-03-28,2,3,St Pierre des Trippiers,14,15,
Cerf,Méjean,2017-03-28,2,4,Fretma,7,38.3,
Cerf,Méjean,2017-03-28,2,5,Le Pradal,2,29.7,
Cerf,Méjean,2017-04-10,3,4,Fretma,19,38.3,x
Cerf,Méjean,2017-04-10,3,5,Le Pradal,3,29.7,x
Cerf,Méjean,2017-04-11,4,5,Le Pradal,10,29.7,x
Cerf,Mont Aigoual,2016-04-28,1,1,Vébron-Rousses-Bassurels,80,44,
Cerf,Mont Aigoual,2016-04-28,1,2,Gatuzières-Meyrueis,109,33.8,
Cerf,Mont Aigoual,2016-04-28,1,3,Meyrueis-Brèze et Béthuzon,102,34.3,
Cerf,Mont Aigoual,2016-04-29,2,1,Vébron-Rousses-Bassurels,120,44,
Cerf,Mont Aigoual,2016-04-29,2,2,Gatuzières-Meyrueis,132,33.8,
Cerf,Mont Aigoual,2016-04-29,2,3,Meyrueis-Brèze et Béthuzon,124,34.3,
Cerf,Mont Aigoual,2017-04-26,1,2,Gatuzières-Meyrueis,51,33.8,
Cerf,Mont Aigoual,2017-04-26,1,3,Meyrueis-Brèze et Béthuzon,62,34.3,
